proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
8681,LOF TECH,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-04-24
10740,LOF TECH,ARG,Argentina,02,CABA,Tecnología e Innovación,2013-12-17
12352,LOGICOM S.R.L.,ARG,Argentina,54,Misiones,Tecnología e Innovación,2010-06-02
9907,LOGIN INFORMATICA S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2007-01-18
10535,LOGOT SRL,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2010-06-04
12555,LOMAS DEL SOL SRL,ARG,Argentina,70,San Juan,Tecnología e Innovación,2011-08-24
6838,LONCOTECH S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2014-06-16
10089,LONE LIGHTHOUSE S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-03-06
5837,"LONGONI ELECTRÓNICA S.R.L. (MARCA REGISTRADA ""DIGICARD"")",ARG,Argentina,02,CABA,Tecnología e Innovación,2007-06-22
10235,"LONGONI ELECTRÓNICA S.R.L. (MARCA REGISTRADA ""DIGICARD"")",ARG,Argentina,02,CABA,Tecnología e Innovación,2012-07-12
9183,LOOPING S.A.,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2012-09-11
8730,LOPEZ & PIN INGENIERIA S.H.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-06-09
8469,LOPEZ AMADO DANIEL JOSE Y VERRASTRO SEBASTIAN SH ALIASING,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-02-11
8179,LOPEZ HNOS. SRL,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2008-09-24
10570,LOPEZ HNOS. SRL,ARG,Argentina,82,Santa Fe,Tecnología e Innovación,2010-06-30
10488,LOS 5 HISPANOS S.A,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-06-30
9502,LOS CONCE S.A.I.M.C.I.YF.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-08-01
10825,LOS CONCE S.A.I.M.C.I.YF.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2014-04-07
12346,LOS FLAMENCOS SA,ARG,Argentina,66,Salta,Tecnología e Innovación,2010-06-06
